Generation;MeanFitness;MaxFitness
919;991;1000
920;996;1000
921;992;1000
922;934;1000
923;995;1000
924;937;1000
925;997;1000
926;930;1000
927;936;1000
928;1000;1000
929;931;1000
930;937;1000
931;1000;1000
932;937;1000
933;937;1000
934;1000;1000
935;1000;1000
936;875;1000
937;987;1000
938;1000;1000
939;994;1000
940;937;1000
941;993;1000
942;932;1000
943;1000;1000
944;995;1000
945;1000;1000
946;1000;1000
947;1000;1000
948;1000;1000
949;996;1000
950;937;1000
951;937;1000
952;1000;1000
953;812;1000
954;1000;1000
955;1000;1000
956;1000;1000
957;1000;1000
958;932;1000
959;1000;1000
960;875;1000
961;998;1000
962;1000;1000
963;1000;1000
964;998;1000
965;937;1000
966;1000;1000
967;996;1000
968;998;1000
969;750;1000
970;990;1000
971;1000;1000
972;1000;1000
973;995;1000
974;868;1000
975;1000;1000
976;934;1000
977;1000;1000
978;811;1000
979;933;1000
980;1000;1000
981;994;1000
982;875;1000
983;1000;1000
984;872;1000
985;994;1000
986;1000;1000
987;937;1000
988;934;1000
989;1000;1000
990;1000;1000
991;1000;1000
992;1000;1000
993;995;1000
994;1000;1000
995;937;1000
996;937;1000
997;1000;1000
998;1000;1000
999;812;1000
